split,source_short_name,primary_subdomain,pairs,en_chars_mean,vi_chars_mean,en_tokens_mean,vi_tokens_mean,length_ratio_vi_over_en_mean,en_vocab_size,vi_vocab_size,en_type_token_ratio,vi_type_token_ratio
it_test,envitech_reasoning,ai_ml,331,67.87311178247734,75.9214501510574,10.691842900302115,16.809667673716014,1.1392958699915674,1140,931,0.3221248940378638,0.1673256649892164
it_test,envitech_reasoning,coding,136,65.81617647058823,69.36029411764706,10.007352941176471,15.360294117647058,1.054641432371302,562,588,0.4129316678912564,0.28147438966012445
it_test,envitech_reasoning,command_cli,12,58.916666666666664,67.66666666666667,9.333333333333334,14.333333333333334,1.1586004094403928,84,128,0.75,0.7441860465116279
it_test,envitech_reasoning,documentation,4,67.25,78.25,11.0,17.0,1.16569434867286,34,56,0.7727272727272727,0.8235294117647058
it_test,envitech_reasoning,hardware,121,73.50413223140495,76.31404958677686,10.933884297520661,17.181818181818183,1.0401392132406753,493,496,0.3726379440665155,0.23857623857623858
it_test,envitech_reasoning,system,56,67.89285714285714,70.60714285714286,9.714285714285714,15.446428571428571,1.0439247108513001,276,335,0.5073529411764706,0.3872832369942196
it_test,envitech_reasoning,ui_localization,6,65.5,57.333333333333336,11.666666666666666,13.166666666666666,0.872396560518307,54,63,0.7714285714285715,0.7974683544303798
it_test,gnome,coding,1,29.0,25.0,4.0,5.0,0.8620689655172413,4,5,1.0,1.0
it_test,gnome,ui_localization,12,22.0,22.75,2.8333333333333335,5.083333333333333,0.9559401560360641,33,48,0.9705882352941176,0.7868852459016393
it_test,kde4,ai_ml,223,52.53363228699551,54.91031390134529,8.645739910313901,11.860986547085203,1.250920586374309,780,743,0.4045643153526971,0.28090737240075614
it_test,kde4,coding,135,51.22222222222222,56.162962962962965,8.244444444444444,11.414814814814815,1.4125434055115411,524,544,0.47079964061096136,0.3530175210902012
it_test,kde4,command_cli,55,40.29090909090909,43.018181818181816,6.745454545454545,9.472727272727273,1.1179335735225755,179,243,0.48247978436657685,0.46641074856046066
it_test,kde4,documentation,35,28.02857142857143,28.057142857142857,4.428571428571429,6.0285714285714285,1.0908516216786872,102,127,0.6580645161290323,0.6018957345971564
it_test,kde4,hardware,86,58.383720930232556,54.872093023255815,9.918604651162791,12.348837209302326,1.0918946773811016,375,383,0.4396248534583822,0.3606403013182674
it_test,kde4,system,124,67.90322580645162,75.05645161290323,11.35483870967742,15.96774193548387,1.1500722325396153,556,542,0.39488636363636365,0.2737373737373737
it_test,kde4,ui_localization,2730,21.449084249084247,22.51941391941392,3.5216117216117215,4.878388278388279,1.2157909484414242,2826,2127,0.29394632827127104,0.15970866496470942
it_test,tech_viet_translation,ai_ml,2544,74.02161949685535,85.19889937106919,12.60691823899371,18.69182389937107,1.1511770500976177,6938,4385,0.21632576702419556,0.09221483849259758
it_test,tech_viet_translation,coding,368,73.79891304347827,84.50271739130434,12.201086956521738,18.42391304347826,1.1477920174581102,1923,1629,0.42828507795100224,0.24026548672566372
it_test,tech_viet_translation,command_cli,95,69.13684210526316,81.76842105263158,11.852631578947369,18.03157894736842,1.17855959203466,640,689,0.5683836589698046,0.4022183304144775
it_test,tech_viet_translation,documentation,5410,67.28817005545287,76.79574861367837,11.69075785582255,16.77652495378928,1.1431158432029394,10002,6384,0.15814188815279775,0.07033858154934389
it_test,tech_viet_translation,hardware,465,77.3247311827957,89.2,13.154838709677419,19.453763440860214,1.162579635425516,2252,1828,0.36815432401504006,0.2020782666371877
it_test,tech_viet_translation,system,279,76.3405017921147,84.91756272401433,12.56989247311828,18.229390681003583,1.1156085940594909,1487,1353,0.424009124607927,0.26602438065277234
it_test,tech_viet_translation,ui_localization,289,74.4878892733564,84.32179930795847,12.740484429065743,18.643598615916954,1.1389625284784655,1354,1289,0.3677349266702879,0.2392353377876763
it_test,ubuntu,ai_ml,26,39.0,39.46153846153846,6.038461538461538,8.884615384615385,0.9882951072514856,111,159,0.7070063694267515,0.6883116883116883
it_test,ubuntu,coding,16,42.875,47.375,6.5,10.3125,1.1670559581555064,83,117,0.7980769230769231,0.7090909090909091
it_test,ubuntu,command_cli,14,26.928571428571427,30.785714285714285,4.714285714285714,6.571428571428571,1.148116883116883,55,69,0.8333333333333334,0.75
it_test,ubuntu,documentation,3,45.333333333333336,48.333333333333336,7.0,11.0,1.0546300105123636,19,29,0.9047619047619048,0.8787878787878788
it_test,ubuntu,hardware,8,35.125,41.25,5.75,9.625,1.218728881209305,38,59,0.8260869565217391,0.7662337662337663
